item,geo
http://www.wikidata.org/entity/Q2788697,Point(4.693056 52.563889)
http://www.wikidata.org/entity/Q963825,Point(5.30833 52.0333)
http://www.wikidata.org/entity/Q1576733,Point(4.908441666 52.366969444)
http://www.wikidata.org/entity/Q1872824,Point(4.518056 51.919167)
http://www.wikidata.org/entity/Q1952871,Point(5.874194 51.82)
http://www.wikidata.org/entity/Q1957821,Point(5.6948 51.9659)
http://www.wikidata.org/entity/Q1971949,Point(5.7275 52.14)
http://www.wikidata.org/entity/Q1980263,Point(6.59611 53.18028)
http://www.wikidata.org/entity/Q2368641,Point(5.159167 52.229167)
http://www.wikidata.org/entity/Q2461130,Point(4.506205555 51.931986111)
http://www.wikidata.org/entity/Q2468128,Point(4.484167 52.156111)
http://www.wikidata.org/entity/Q2498387,Point(5.1725 52.0883)
http://www.wikidata.org/entity/Q2610973,Point(4.860555555 52.332777777)
http://www.wikidata.org/entity/Q2689996,Point(4.371111 52.0075)
http://www.wikidata.org/entity/Q13135016,Point(5.299149 52.20889)
http://www.wikidata.org/entity/Q13442808,Point(5.17028 52.08778)
http://www.wikidata.org/entity/Q13442809,Point(6.0275 50.8675)
http://www.wikidata.org/entity/Q15873460,Point(4.50129 51.90126)
http://www.wikidata.org/entity/Q18771183,Point(4.597222222 52.328611111)
http://www.wikidata.org/entity/Q18771243,Point(4.485 52.179611)
http://www.wikidata.org/entity/Q18775796,Point(4.453333 51.926944)
