item,geo,inception
http://www.wikidata.org/entity/Q322164,Point(50.709 56.592),
http://www.wikidata.org/entity/Q819141,Point(3.989166666 51.211777777),
http://www.wikidata.org/entity/Q2201693,Point(4.9387 52.31331),
http://www.wikidata.org/entity/Q2217861,Point(5.988888888 52.245852777),
http://www.wikidata.org/entity/Q2227446,Point(5.01333 52.34),
http://www.wikidata.org/entity/Q2269991,Point(5.865136111 52.344563888),
http://www.wikidata.org/entity/Q2322959,Point(4.5289 51.9142),
http://www.wikidata.org/entity/Q2322959,Point(4.53306 51.91389),
http://www.wikidata.org/entity/Q2322959,Point(4.5586 51.9207),
http://www.wikidata.org/entity/Q2481659,Point(5.6576 51.4776),
http://www.wikidata.org/entity/Q2546319,Point(4.45278 51.86917),
http://www.wikidata.org/entity/Q2658569,Point(4.30361 51.43722),
http://www.wikidata.org/entity/Q2667023,Point(6.5710174 53.2488564),
http://www.wikidata.org/entity/Q2710629,Point(4.645775 52.012388888),
http://www.wikidata.org/entity/Q2747960,Point(4.9636 52.3166),
http://www.wikidata.org/entity/Q2747960,Point(4.93472 52.34139),
http://www.wikidata.org/entity/Q2747960,Point(4.9262 52.3475),
http://www.wikidata.org/entity/Q2793209,Point(4.46444 51.91028),
http://www.wikidata.org/entity/Q17302645,Point(4.91639 52.36612),
http://www.wikidata.org/entity/Q17319333,Point(4.77355 52.63583),
http://www.wikidata.org/entity/Q17346216,Point(6.15299 52.25257),
http://www.wikidata.org/entity/Q17366040,Point(5.04766 52.51354),
http://www.wikidata.org/entity/Q17442145,Point(4.12493 51.8233),
http://www.wikidata.org/entity/Q17445862,Point(7.19153 53.00635),
http://www.wikidata.org/entity/Q17448104,Point(6.44616 51.90077),
http://www.wikidata.org/entity/Q17594309,Point(5.1618 52.14948),
http://www.wikidata.org/entity/Q17597515,Point(7.18428 53.0664),
http://www.wikidata.org/entity/Q17597546,Point(7.18775 53.04946),
http://www.wikidata.org/entity/Q17597948,Point(5.54308 51.62534),
http://www.wikidata.org/entity/Q17598600,Point(7.03069 53.14206),
http://www.wikidata.org/entity/Q17613963,Point(5.48391 53.21932),
http://www.wikidata.org/entity/Q18088809,Point(6.57027 53.2046),
http://www.wikidata.org/entity/Q18286914,Point(5.950827777 52.943475),
http://www.wikidata.org/entity/Q43677592,Point(4.877833 52.392556),
http://www.wikidata.org/entity/Q93345900,Point(5.915352777 50.820805555),
http://www.wikidata.org/entity/Q94788563,Point(5.693588888 50.824613888),
http://www.wikidata.org/entity/Q94789359,Point(5.690961111 50.826802777),
http://www.wikidata.org/entity/Q96190921,Point(5.769130555 50.850433333),
http://www.wikidata.org/entity/Q96279159,Point(5.927308333 50.891277777),
http://www.wikidata.org/entity/Q96359197,Point(5.797911111 50.790825),
http://www.wikidata.org/entity/Q97011831,Point(6.59892 53.00999),
http://www.wikidata.org/entity/Q70208349,Point(5.915197222 50.870469444),
http://www.wikidata.org/entity/Q97654610,Point(4.64261 52.31998),
http://www.wikidata.org/entity/Q97654621,Point(4.63703 52.2973),
http://www.wikidata.org/entity/Q97654627,Point(4.7159 52.28696),
http://www.wikidata.org/entity/Q97654643,Point(4.68167 52.28547),
http://www.wikidata.org/entity/Q97664902,Point(5.14523 52.3433),
http://www.wikidata.org/entity/Q97664926,Point(5.16302 52.34189),
http://www.wikidata.org/entity/Q97664960,Point(5.19603 52.35032),
http://www.wikidata.org/entity/Q97665228,Point(5.21695 52.35119),
http://www.wikidata.org/entity/Q97665238,Point(5.22808 52.35061),
http://www.wikidata.org/entity/Q97665313,Point(5.24513 52.36704),
http://www.wikidata.org/entity/Q97666146,Point(5.30679 52.39318),
http://www.wikidata.org/entity/Q97781806,Point(6.54324 52.95728),
http://www.wikidata.org/entity/Q98003812,Point(5.74975 53.19031),
